,Title,Subtitle,Link
17,What it takes to make 165 years of journalism available online,Digitizing The Atlantic’s archive and turning it into a product for readers are two different things. Here’s how we did both.,https://building.theatlantic.com/what-it-takes-to-make-165-years-of-journalism-available-online-7958021646af?source=home---------17------------------0----------
18,The Unquenchable Thirst to Be a Noun,"Achievement, like identity, is a trap",https://annamercury.medium.com/the-unquenchable-thirst-to-be-a-noun-1d8a5bd6dbe0?source=home---------18------------------0----------
19,Soul Food: Is Delicious Damn The Lies.,“A heaping helping of fried chicken Macaroni and cheese and collard greens Too big for my jeans Smoke steams from under the lid that’s on…,https://zora.medium.com/soul-food-is-delicious-damn-the-lies-34c9188a9425?source=home---------19------------------0----------
20,The Dog and the Dinosaur,"The epic true story of a war hero, his rescued dog, and their improbable quest to find a living brontosaurus in the Congo.",https://medium.com/longium-longform/the-dog-and-the-dinosaur-d9e5e3d7edc2?source=home---------20------------------0----------
21,Why poetry matters,"For U.S. National Poetry Month, we’re highlighting verse, wordplay, and essays about poetry from across Medium",https://blog.medium.com/why-poetry-matters-68e4813f5a51?source=home---------21------------------0----------
22,Report from a Relationship,"All it takes is one person being hot and one being cold. At any and every living moment of the day and night, one needs a blanket and the…",https://juliovincent.medium.com/report-from-a-relationship-74650b0be3a8?source=home---------22------------------0----------
23,What we’re reading: Dungeons & Dragons & AI,A few stories you may have missed this week,https://blog.medium.com/what-were-reading-dungeons-dragons-ai-251b292ffb75?source=home---------23------------------0----------
24,I’ll Be 50 This Year — It’s Sobering,Reflections on a life that didn’t go according to plan,https://medium.com/crows-feet/ill-be-50-this-year-it-s-sobering-a770195ca662?source=home---------24------------------0----------
25,AI and the American Smile,How AI misrepresents culture through a facial expression.,https://medium.com/@socialcreature/ai-and-the-american-smile-76d23a0fbfaf?source=home---------25------------------0----------
26,Teaching ChatGPT to Speak my Son’s Invented Language,"Becoming fluent in my son’s invented language was too difficult for me, so I decided to see how would AI do.",https://szopa.medium.com/teaching-chatgpt-to-speak-my-sons-invented-language-9d109c0a0f05?source=home---------26------------------0----------
27,My kids and I just played D&D with ChatGPT4 as the DM,Spoiler Alert: It absolutely blew our minds,https://obie.medium.com/my-kids-and-i-just-played-d-d-with-chatgpt4-as-the-dm-43258e72b2c6?source=home---------27------------------0----------
28,On that which starts and ends in the womb,I levitated up from the examination table and kissed the ceiling of Planned Parenthood.,https://humanparts.medium.com/on-that-which-starts-and-ends-in-the-womb-e31e732e5b52?source=home---------28------------------0----------
29,The Ugly American Passport Fiasco,The State Department told me to fly to Puerto Rico to renew my passport. There’s something wrong here.,https://tomroston.medium.com/the-ugly-american-passport-fiasco-df5e0d6700a9?source=home---------29------------------0----------
30,Building a User Experience Is Social Work,How adopting a human advocacy mindset can help you serve users better.,https://medium.com/indeed-design/building-a-user-experience-is-social-work-8ec000f12c01?source=home---------30------------------0----------
31,David Attenborough Narrates the Great Twitter Migration,"Alas, the V-shaped formation fails to materialize. It looks more like a broken I or maybe an S. Wait. Is that an X?",https://thebelladonnacomedy.com/david-attenborough-narrates-the-great-twitter-migration-fbdf6138f89b?source=home---------31------------------0----------
32,Why I Signed the “Pause Giant AI Experiments” Petition,The “spirit” is right; the body has many flaws,https://towardsdatascience.com/why-i-signed-the-pause-giant-ai-experiments-petition-e9711f672d18?source=home---------32------------------0----------
33,Small Things,A poem,https://medium.com/the-howling-owl/small-things-4c8df5a8d1bf?source=home---------33------------------0----------
34,One of the Guys,The Nashville shooting has been labeled “trans terrorism” — but the face of gun violence is almost always a cis white guy.,https://judedoyle.medium.com/one-of-the-guys-7f2994d373d2?source=home---------34------------------0----------
35,"What We’re Reading: When a story and a writer connect, it’s magic","Notes on Wikipedia’s redesign, reflections on the rise of AI, and more perspectives worth reading",https://blog.medium.com/what-were-reading-when-a-story-and-a-writer-connect-it-s-magic-1d494ce4eb27?source=home---------35------------------0----------
36,March Madness: Relationships and Basketball have a lot in Common,"Co-authored with Robin Stern, PhD",https://medium.com/@marc.brackett/march-madness-relationships-and-basketball-have-a-lot-in-common-49bfcde1c3bf?source=home---------36------------------0----------
37,The World Is Magic. So Where Is the Magician?,"By Deepak Chopra, MD, FACP, FRCP",https://deepakchopra.medium.com/the-world-is-magic-so-where-is-the-magician-2fceb44e1e27?source=home---------37------------------0----------
38,The Real Problem with TikTok’s ‘Glamour’ Filter,It’s not about beauty standards or even AI,https://medium.com/the-virago/the-real-problem-with-tiktoks-glamour-filter-cc4df60b29e7?source=home---------38------------------0----------
39,Design notes on the 2023 Wikipedia redesign,"Exploring the unique challenges of making changes within an open-source, volunteer-led environment. Plus: the importance of prototyping.",https://uxdesign.cc/design-notes-on-the-2023-wikipedia-redesign-d6573b9af28d?source=home---------39------------------0----------
40,It’s Been 20 Years Since We Invaded Iraq. I Am Still in the Desert.,"Even though many veterans came home physically from Iraq, we never fully returned home",https://humanparts.medium.com/its-been-20-years-since-we-invaded-iraq-i-am-still-in-the-desert-a10bd32d9b63?source=home---------40------------------0----------
41,AI isn’t close to becoming sentient — the real danger lies in how easily we’re prone to…,Our tendency to view machines as people and become attached to them points to real risks of psychological entanglement with AI technology.,https://medium.com/@ConversationUS/ai-isnt-close-to-becoming-sentient-the-real-danger-lies-in-how-easily-we-re-prone-to-b767c96552a2?source=home---------41------------------0----------
42,The [Heart] of the Matter,How a plump red symbol became a beloved verb.,https://wordworking.medium.com/the-heart-of-the-matter-d29808ddddb8?source=home---------42------------------0----------
43,LGBTQ+ bias in GPT-3,Understanding the risks and how to mitigate them.,https://betterprogramming.pub/lgbtq-bias-in-gpt-3-11a7d6362b27?source=home---------43------------------0----------
44,What We’re Reading: Where do you get your big questions answered?,A few Medium stories you may have missed this week,https://blog.medium.com/what-were-reading-where-do-you-get-your-big-questions-answered-8a25606ce00?source=home---------44------------------0----------
45,She’s Having My Baby,"“With friends like yours, who needs a partner?” — My doctor",https://medium.com/@emilymaskin/shes-having-my-baby-bac9559a1f17?source=home---------45------------------0----------
46,When Worlds Collide,"Wit, irony, and the imperial minister’s poignant gesture that helped forge my family",https://authoraimeeliu.medium.com/when-worlds-collide-1f821460dcc?source=home---------46------------------0----------
47,Venture Catastrophists,"In 1907, amidst rising interest rates and a declining stock market, two New York bankers attempted to corner the stock of a copper company…",https://medium.com/@profgalloway/venture-catastrophists-dcd84103602f?source=home---------47------------------0----------
48,Why are women encouraged to go into UX?,Men dominate the tech sector–so why is it that UX has an abundance of women?,https://uxdesign.cc/why-are-women-encouraged-to-go-into-ux-d8765992509d?source=home---------48------------------0----------
49,"Banking 101: What You Need to Know, and What Causes Bank Runs",Basic banking explained: It’s all about trust,https://sfoerster-5338.medium.com/banking-101-what-you-need-to-know-and-what-causes-bank-runs-1a84386f67d4?source=home---------49------------------0----------
